# Production's answers for src/ng/paralog/production_parity.rs — frozen at promotion plan step C4.
#
# Every value below was computed by production's paralog filter — src/paralog/ and
# src/var_calling/paralog_filter/calibrate.rs — at commit d9e7b076, on the inputs the named
# test in production_parity.rs builds, by that test instrumented to write out what production
# returned. ng's copy agreed with each value at that commit, within the tolerances the test states.
#
# Format: one `key<TAB>value` per line. The key's first segment names the test's section.
# An f64 is its IEEE-754 bit pattern as 16 hex digits, so NaN and -0.0 survive; an Option<f64>
# is that or `none`; counts are decimal; booleans are `true`/`false`. A probe ratio or target
# in a key is written with Rust's `{:?}`.
sweep/1/0/ratio	405547d44ed9aa32
sweep/1/7/real_variant	c04a5daa6d212a8a
sweep/1/7/hidden_paralog	c05078badb067d59
sweep/1/7/samples_used	1
sweep/1/7/confident_homalt_carriers	0
sweep/1/8/ratio	0000000000000000
sweep/1/8/real_variant	0000000000000000
sweep/1/8/hidden_paralog	0000000000000000
sweep/1/8/samples_used	0
sweep/1/8/confident_homalt_carriers	0
sweep/1/9/ratio	c0659eab82618a4c
sweep/1/9/real_variant	c05976f6cd98c60f
sweep/1/9/hidden_paralog	c0712d137496f6aa
sweep/1/9/samples_used	1
sweep/1/9/confident_homalt_carriers	1
sweep/1/10/ratio	40454683788b1326
sweep/1/10/real_variant	c05e3216afb2fb7a
sweep/1/10/hidden_paralog	c0538ed4f36d71e7
sweep/1/10/samples_used	1
sweep/1/10/confident_homalt_carriers	0
sweep/1/11/ratio	c014e0ec2031afca
sweep/1/11/real_variant	c02832c9d4500777
sweep/1/11/hidden_paralog	c031519ff2346fae
sweep/1/11/samples_used	1
sweep/1/11/confident_homalt_carriers	0
sweep/1/12/ratio	403e3198d9a02878
sweep/1/12/real_variant	c07032ac3b93f2e1
sweep/1/12/hidden_paralog	c06c9f255bf3e0b3
sweep/1/12/samples_used	1
sweep/1/12/confident_homalt_carriers	0
sweep/1/13/ratio	4068a7beac9814ce
sweep/1/13/real_variant	c07d6bc2235305a4
sweep/1/13/hidden_paralog	c07117e2cd06fb3d
sweep/1/13/samples_used	1
sweep/1/13/confident_homalt_carriers	1
sweep/1/14/ratio	c003b07ceeda0740
sweep/1/14/real_variant	c06dff3f21835137
sweep/1/14/hidden_paralog	c06e4e01153eb954
sweep/1/14/samples_used	1
sweep/1/14/confident_homalt_carriers	0
sweep/1/15/ratio	bfe13e65719f9662
sweep/1/15/real_variant	bfe2efdb72967c56
sweep/1/15/hidden_paralog	bff21720721b095c
sweep/1/15/samples_used	1
sweep/1/15/confident_homalt_carriers	0
sweep/1/16/ratio	4055e3ad63335b60
sweep/1/16/real_variant	c06e9364b67f30be
sweep/1/16/hidden_paralog	c063a18e04e5830e
sweep/1/16/samples_used	1
sweep/1/16/confident_homalt_carriers	0
sweep/1/17/ratio	406081775966befc
sweep/1/17/real_variant	c072349010a18449
sweep/1/17/hidden_paralog	c063e7a8c7dc4996
sweep/1/17/samples_used	1
sweep/1/17/confident_homalt_carriers	0
sweep/1/18/ratio	3fc6800b3ab21900
sweep/1/18/real_variant	c048e195a8a90229
sweep/1/18/hidden_paralog	c048cb159d6e5010
sweep/1/18/samples_used	1
sweep/1/18/confident_homalt_carriers	0
sweep/1/19/ratio	4048ba5a028e01fc
sweep/1/19/real_variant	c07051bb585c049f
sweep/1/19/hidden_paralog	c06a74e0301488bf
sweep/1/19/samples_used	1
sweep/1/19/confident_homalt_carriers	0
sweep/1/20/ratio	0000000000000000
sweep/1/20/real_variant	0000000000000000
sweep/1/20/hidden_paralog	0000000000000000
sweep/1/20/samples_used	0
sweep/1/20/confident_homalt_carriers	0
sweep/1/21/ratio	0000000000000000
sweep/1/21/real_variant	0000000000000000
sweep/1/21/hidden_paralog	0000000000000000
sweep/1/21/samples_used	0
sweep/1/21/confident_homalt_carriers	0
sweep/1/22/ratio	0000000000000000
sweep/1/22/real_variant	0000000000000000
sweep/1/22/hidden_paralog	0000000000000000
sweep/1/22/samples_used	0
sweep/1/22/confident_homalt_carriers	0
sweep/1/23/ratio	40391a3172ea8a20
sweep/1/23/real_variant	c07069e0e7e2ed2b
sweep/1/23/hidden_paralog	c06db07ba1688912
sweep/1/23/samples_used	1
sweep/1/23/confident_homalt_carriers	0
sweep/1/24/ratio	40750c1f2c97d8b0
sweep/1/24/real_variant	c081bd9ead57b0f4
sweep/1/24/hidden_paralog	c06cde3c5c2f1270
sweep/1/24/samples_used	1
sweep/1/24/confident_homalt_carriers	0
sweep/1/25/ratio	c058980d292933d8
sweep/1/25/real_variant	c046b835bc2aef33
sweep/1/25/hidden_paralog	c061fa14039f55b9
sweep/1/25/samples_used	1
sweep/1/25/confident_homalt_carriers	1
sweep/1/26/ratio	40661889cabbd19c
sweep/1/26/real_variant	c07305c84a529469
sweep/1/26/hidden_paralog	c05fe60d93d2ae6c
sweep/1/26/samples_used	1
sweep/1/26/confident_homalt_carriers	0
sweep/1/27/ratio	40502ba3c2d37248
sweep/1/27/real_variant	c06ee8de4fb3450e
sweep/1/27/hidden_paralog	c066d30c6e498bea
sweep/1/27/samples_used	1
sweep/1/27/confident_homalt_carriers	0
sweep/1/28/ratio	0000000000000000
sweep/1/28/real_variant	0000000000000000
sweep/1/28/hidden_paralog	0000000000000000
sweep/1/28/samples_used	0
sweep/1/28/confident_homalt_carriers	0
sweep/1/29/ratio	0000000000000000
sweep/1/29/real_variant	0000000000000000
sweep/1/29/hidden_paralog	0000000000000000
sweep/1/29/samples_used	0
sweep/1/29/confident_homalt_carriers	0
sweep/1/30/ratio	c034edd156278f70
sweep/1/30/real_variant	c06f11fd0185925a
sweep/1/30/hidden_paralog	c070d7db96254224
sweep/1/30/samples_used	1
sweep/1/30/confident_homalt_carriers	0
sweep/1/31/ratio	40540c1ec8b65f82
sweep/1/31/real_variant	c071c455fe7e3dc1
sweep/1/31/hidden_paralog	c069829c98a14bc1
sweep/1/31/samples_used	1
sweep/1/31/confident_homalt_carriers	0
sweep/1/32/ratio	40443a4809df88e0
sweep/1/32/real_variant	c071073cf134b599
sweep/1/32/hidden_paralog	c06cffe7dff188fa
sweep/1/32/samples_used	1
sweep/1/32/confident_homalt_carriers	0
sweep/1/33/ratio	4029e47a2a28f7c0
sweep/1/33/real_variant	c06d3ee49f956a19
sweep/1/33/hidden_paralog	c06ba09cfcf2da9d
sweep/1/33/samples_used	1
sweep/1/33/confident_homalt_carriers	0
sweep/1/34/ratio	4033cf5b7b077649
sweep/1/34/real_variant	c041820407c972b1
sweep/1/34/hidden_paralog	c02e69592916de32
sweep/1/34/samples_used	1
sweep/1/34/confident_homalt_carriers	0
sweep/1/35/ratio	40669787d22e1edc
sweep/1/35/real_variant	c081060e6494a2ca
sweep/1/35/hidden_paralog	c076c058e0123626
sweep/1/35/samples_used	1
sweep/1/35/confident_homalt_carriers	0
sweep/1/36/ratio	bfe043130c448ac0
sweep/1/36/real_variant	c03d372151b4e5ba
sweep/1/36/hidden_paralog	c03db939ea170a10
sweep/1/36/samples_used	1
sweep/1/36/confident_homalt_carriers	0
sweep/1/37/ratio	4037766498fa02dc
sweep/1/37/real_variant	c046cac43cfffac0
sweep/1/37/hidden_paralog	c0361f23e105f2a4
sweep/1/37/samples_used	1
sweep/1/37/confident_homalt_carriers	0
sweep/1/38/ratio	4041a85d85e45a0c
sweep/1/38/real_variant	c055cb910037627e
sweep/1/38/hidden_paralog	c049eec47a8a6af0
sweep/1/38/samples_used	1
sweep/1/38/confident_homalt_carriers	0
sweep/1/39/ratio	4030ad11a16ccff0
sweep/1/39/real_variant	c06ced98e9f26364
sweep/1/39/hidden_paralog	c06ad7f6b5c4c966
sweep/1/39/samples_used	1
sweep/1/39/confident_homalt_carriers	0
sweep/1/40/ratio	4021035a99f49bc0
sweep/1/40/real_variant	c069df1c39f7c140
sweep/1/40/hidden_paralog	c068cee690587784
sweep/1/40/samples_used	1
sweep/1/40/confident_homalt_carriers	0
sweep/1/41/ratio	40a316dbf8cc3ef8
sweep/1/41/real_variant	c0a4b037518f313a
sweep/1/41/hidden_paralog	c06995b58c2f2427
sweep/1/41/samples_used	1
sweep/1/41/confident_homalt_carriers	0
sweep/1/42/ratio	40242a48fda086cc
sweep/1/42/real_variant	c048be98c41692c3
sweep/1/42/hidden_paralog	c043b40684ae7110
sweep/1/42/samples_used	1
sweep/1/42/confident_homalt_carriers	0
sweep/1/43/ratio	4031de488498dfd0
sweep/1/43/real_variant	c0728ebc6b6e9ec5
sweep/1/43/hidden_paralog	c07170d7e32510c8
sweep/1/43/samples_used	1
sweep/1/43/confident_homalt_carriers	0
sweep/1/44/ratio	4039c8ed3d689e4c
sweep/1/44/real_variant	c05ff09ec7ea2313
sweep/1/44/hidden_paralog	c0597e63788ffb80
sweep/1/44/samples_used	1
sweep/1/44/confident_homalt_carriers	0
sweep/1/45/ratio	0000000000000000
sweep/1/45/real_variant	0000000000000000
sweep/1/45/hidden_paralog	0000000000000000
sweep/1/45/samples_used	0
sweep/1/45/confident_homalt_carriers	0
sweep/1/46/ratio	0000000000000000
sweep/1/46/real_variant	0000000000000000
sweep/1/46/hidden_paralog	0000000000000000
sweep/1/46/samples_used	0
sweep/1/46/confident_homalt_carriers	0
sweep/1/47/ratio	4028355048bde840
sweep/1/47/real_variant	c06e45260182db14
sweep/1/47/hidden_paralog	c06cc1d0fcf6fc90
sweep/1/47/samples_used	1
sweep/1/47/confident_homalt_carriers	0
sweep/1/48/ratio	0000000000000000
sweep/1/48/real_variant	0000000000000000
sweep/1/48/hidden_paralog	0000000000000000
sweep/1/48/samples_used	0
sweep/1/48/confident_homalt_carriers	0
sweep/1/49/ratio	403b274e1050f3ab
sweep/1/49/real_variant	c03dd65f1a58a070
sweep/1/49/hidden_paralog	c0057888503d6626
sweep/1/49/samples_used	1
sweep/1/49/confident_homalt_carriers	0
sweep/1/50/ratio	404e6a0ea5addcba
sweep/1/50/real_variant	c062ee0b89d30241
sweep/1/50/hidden_paralog	c056a70fc0cf1625
sweep/1/50/samples_used	1
sweep/1/50/confident_homalt_carriers	0
sweep/1/51/ratio	403cd7f6aa7f9f5c
sweep/1/51/real_variant	c05f9f56e317a696
sweep/1/51/hidden_paralog	c05869593877bebf
sweep/1/51/samples_used	1
sweep/1/51/confident_homalt_carriers	0
sweep/1/52/ratio	40480527913930c8
sweep/1/52/real_variant	c07326e6abbdb148
sweep/1/52/hidden_paralog	c0702641b9968b2f
sweep/1/52/samples_used	1
sweep/1/52/confident_homalt_carriers	0
sweep/1/53/ratio	0000000000000000
sweep/1/53/real_variant	0000000000000000
sweep/1/53/hidden_paralog	0000000000000000
sweep/1/53/samples_used	0
sweep/1/53/confident_homalt_carriers	0
sweep/1/54/ratio	401212b7e8238380
sweep/1/54/real_variant	c06b5db4bcf94814
sweep/1/54/hidden_paralog	c06acd1efdb82bf8
sweep/1/54/samples_used	1
sweep/1/54/confident_homalt_carriers	0
sweep/1/55/ratio	bfdb8138a4b21ed4
sweep/1/55/real_variant	3fd0eb989b8bfe84
sweep/1/55/hidden_paralog	bfc52b40124c40a0
sweep/1/55/samples_used	1
sweep/1/55/confident_homalt_carriers	0
sweep/1/56/ratio	406f4de9de2519cb
sweep/1/56/real_variant	c07ba2a85f3b4d33
sweep/1/56/hidden_paralog	c067f766e051809b
sweep/1/56/samples_used	1
sweep/1/56/confident_homalt_carriers	0
sweep/1/57/ratio	3fd5fc8d4cc37180
sweep/1/57/real_variant	c04dce2bbbdb1713
sweep/1/57/hidden_paralog	c04da232a1419030
sweep/1/57/samples_used	1
sweep/1/57/confident_homalt_carriers	0
sweep/1/58/ratio	c045eb9df12c176d
sweep/1/58/real_variant	c005196ad1d04df3
sweep/1/58/hidden_paralog	c0473d349e491c4c
sweep/1/58/samples_used	1
sweep/1/58/confident_homalt_carriers	1
sweep/1/59/ratio	0000000000000000
sweep/1/59/real_variant	0000000000000000
sweep/1/59/hidden_paralog	0000000000000000
sweep/1/59/samples_used	0
sweep/1/59/confident_homalt_carriers	0
sweep/1/60/ratio	402fdac6d6227f78
sweep/1/60/real_variant	c053b030f2f70222
sweep/1/60/hidden_paralog	c04f69b030656466
sweep/1/60/samples_used	1
sweep/1/60/confident_homalt_carriers	0
sweep/1/61/ratio	0000000000000000
sweep/1/61/real_variant	0000000000000000
sweep/1/61/hidden_paralog	0000000000000000
sweep/1/61/samples_used	0
sweep/1/61/confident_homalt_carriers	0
sweep/1/62/ratio	4022a4868d309cf3
sweep/1/62/real_variant	c03196c8de35c8a8
sweep/1/62/hidden_paralog	c020890b2f3af45d
sweep/1/62/samples_used	1
sweep/1/62/confident_homalt_carriers	0
sweep/1/63/ratio	c0363d018cba5280
sweep/1/63/real_variant	c064b257588da8a2
sweep/1/63/hidden_paralog	c06779f78a24f2f2
sweep/1/63/samples_used	1
sweep/1/63/confident_homalt_carriers	0
sweep/1/64/ratio	0000000000000000
sweep/1/64/real_variant	0000000000000000
sweep/1/64/hidden_paralog	0000000000000000
sweep/1/64/samples_used	0
sweep/1/64/confident_homalt_carriers	0
sweep/1/65/ratio	405a685255de15ca
sweep/1/65/real_variant	c071be953f9e6e63
sweep/1/65/hidden_paralog	c0664901544dd1e1
sweep/1/65/samples_used	1
sweep/1/65/confident_homalt_carriers	0
sweep/1/66/ratio	403d0a4867f34ea8
sweep/1/66/real_variant	c0676c7215e533dd
sweep/1/66/hidden_paralog	c063cb2908e6ca08
sweep/1/66/samples_used	1
sweep/1/66/confident_homalt_carriers	0
sweep/1/67/ratio	0000000000000000
sweep/1/67/real_variant	0000000000000000
sweep/1/67/hidden_paralog	0000000000000000
sweep/1/67/samples_used	0
sweep/1/67/confident_homalt_carriers	0
sweep/1/68/ratio	3fd5bddb819e7200
sweep/1/68/real_variant	c05f08f149833212
sweep/1/68/hidden_paralog	c05ef3336e0193a0
sweep/1/68/samples_used	1
sweep/1/68/confident_homalt_carriers	0
sweep/1/69/ratio	4084e0a8109ba330
sweep/1/69/real_variant	c084ebc939c15ac3
sweep/1/69/hidden_paralog	bff642524b6f25f4
sweep/1/69/samples_used	1
sweep/1/69/confident_homalt_carriers	0
sweep/1/70/ratio	0000000000000000
sweep/1/70/real_variant	0000000000000000
sweep/1/70/hidden_paralog	0000000000000000
sweep/1/70/samples_used	0
sweep/1/70/confident_homalt_carriers	0
sweep/1/71/ratio	0000000000000000
sweep/1/71/real_variant	0000000000000000
sweep/1/71/hidden_paralog	0000000000000000
sweep/1/71/samples_used	0
sweep/1/71/confident_homalt_carriers	0
sweep/1/72/ratio	4092f4d65e184427
sweep/1/72/real_variant	c094f965a0209fb7
sweep/1/72/hidden_paralog	c060247a1042dc82
sweep/1/72/samples_used	1
sweep/1/72/confident_homalt_carriers	0
sweep/1/73/ratio	405b79d7dfc759b6
sweep/1/73/real_variant	c06cd326d782d832
sweep/1/73/hidden_paralog	c05e2c75cf3e56ae
sweep/1/73/samples_used	1
sweep/1/73/confident_homalt_carriers	0
sweep/1/74/ratio	4024cc68f5a070f0
sweep/1/74/real_variant	c06b37d0ab510322
sweep/1/74/hidden_paralog	c069eb0a1bf6fc13
sweep/1/74/samples_used	1
sweep/1/74/confident_homalt_carriers	0
sweep/1/75/ratio	40262c4ec07fa2c6
sweep/1/75/real_variant	c02b7a9a49138ef1
sweep/1/75/hidden_paralog	c005392e224fb0ad
sweep/1/75/samples_used	1
sweep/1/75/confident_homalt_carriers	0
sweep/1/76/ratio	40619b2ba2bacfef
sweep/1/76/real_variant	c071111980a8e737
sweep/1/76/hidden_paralog	c06087075e96fe7f
sweep/1/76/samples_used	1
sweep/1/76/confident_homalt_carriers	0
sweep/1/77/ratio	0000000000000000
sweep/1/77/real_variant	0000000000000000
sweep/1/77/hidden_paralog	0000000000000000
sweep/1/77/samples_used	0
sweep/1/77/confident_homalt_carriers	0
sweep/1/78/ratio	c06690613254d20a
sweep/1/78/real_variant	c0306b3e541bd149
sweep/1/78/hidden_paralog	c0689dc8fcd84c33
sweep/1/78/samples_used	1
sweep/1/78/confident_homalt_carriers	1
sweep/1/79/ratio	0000000000000000
sweep/1/79/real_variant	0000000000000000
sweep/1/79/hidden_paralog	0000000000000000
sweep/1/79/samples_used	0
sweep/1/79/confident_homalt_carriers	0
sweep/1/80/ratio	c031653309dc23b8
sweep/1/80/real_variant	c05ddde186ae63cc
sweep/1/80/hidden_paralog	c0611b972492b65d
sweep/1/80/samples_used	1
sweep/1/80/confident_homalt_carriers	0
sweep/1/81/ratio	40354e99ae9528e0
sweep/1/81/real_variant	c05e1c3d5b62b4ed
sweep/1/81/hidden_paralog	c058c896efbd6ab5
sweep/1/81/samples_used	1
sweep/1/81/confident_homalt_carriers	0
sweep/1/82/ratio	c0627725b256df4c
sweep/1/82/real_variant	c052867918e00d3d
sweep/1/82/hidden_paralog	c06bba623ec6e5eb
sweep/1/82/samples_used	1
sweep/1/82/confident_homalt_carriers	1
sweep/1/83/ratio	0000000000000000
sweep/1/83/real_variant	0000000000000000
sweep/1/83/hidden_paralog	0000000000000000
sweep/1/83/samples_used	0
sweep/1/83/confident_homalt_carriers	0
sweep/1/84/ratio	bfe445106e2b0200
sweep/1/84/real_variant	c018561554c48756
sweep/1/84/hidden_paralog	c01adeb76289e796
sweep/1/84/samples_used	1
sweep/1/84/confident_homalt_carriers	0
sweep/1/85/ratio	c010d45b3c0bb580
sweep/1/85/real_variant	c04cd3f382af3f08
sweep/1/85/hidden_paralog	c04eee7eea30b5b8
sweep/1/85/samples_used	1
sweep/1/85/confident_homalt_carriers	0
sweep/1/86/ratio	40514612069cf92a
sweep/1/86/real_variant	c072acd05919c9a6
sweep/1/86/hidden_paralog	c06cb697aee516b7
sweep/1/86/samples_used	1
sweep/1/86/confident_homalt_carriers	0
sweep/1/87/ratio	406171b3d7508f95
sweep/1/87/real_variant	c06d971a8b9ae2a2
sweep/1/87/hidden_paralog	c0584acd6894a61a
sweep/1/87/samples_used	1
sweep/1/87/confident_homalt_carriers	0
sweep/1/88/ratio	0000000000000000
sweep/1/88/real_variant	0000000000000000
sweep/1/88/hidden_paralog	0000000000000000
sweep/1/88/samples_used	0
sweep/1/88/confident_homalt_carriers	0
sweep/1/89/ratio	40760e751ada1506
sweep/1/89/real_variant	c0812005b5a3dffc
sweep/1/89/hidden_paralog	c068632ca0db55e3
sweep/1/89/samples_used	1
sweep/1/89/confident_homalt_carriers	0
sweep/1/90/ratio	400000083094147f
sweep/1/90/real_variant	c0107397abfdaaa4
sweep/1/90/hidden_paralog	c000e727276740c9
sweep/1/90/samples_used	1
sweep/1/90/confident_homalt_carriers	0
sweep/1/91/ratio	0000000000000000
sweep/1/91/real_variant	0000000000000000
sweep/1/91/hidden_paralog	0000000000000000
sweep/1/91/samples_used	0
sweep/1/91/confident_homalt_carriers	0
sweep/1/92/ratio	40307b0d429e7b48
sweep/1/92/real_variant	c0548fe527e62bc7
sweep/1/92/hidden_paralog	c0507121d73e8cf5
sweep/1/92/samples_used	1
sweep/1/92/confident_homalt_carriers	0
sweep/1/93/ratio	4036e3b70a319650
sweep/1/93/real_variant	c05b0a41b6aa6c6b
sweep/1/93/hidden_paralog	c0555153f41e06d7
sweep/1/93/samples_used	1
sweep/1/93/confident_homalt_carriers	0
sweep/1/94/ratio	404762b1f3cbc7d6
sweep/1/94/real_variant	c06267d311161f46
sweep/1/94/hidden_paralog	c0591e4d28465aa1
sweep/1/94/samples_used	1
sweep/1/94/confident_homalt_carriers	0
sweep/1/95/ratio	0000000000000000
sweep/1/95/real_variant	0000000000000000
sweep/1/95/hidden_paralog	0000000000000000
sweep/1/95/samples_used	0
sweep/1/95/confident_homalt_carriers	0
sweep/1/96/ratio	c0117b3caa270290
sweep/1/96/real_variant	c05d0c66a74d036d
sweep/1/96/hidden_paralog	c05e241a71ef7396
sweep/1/96/samples_used	1
sweep/1/96/confident_homalt_carriers	0
sweep/1/97/ratio	40311c26a9105fd0
sweep/1/97/real_variant	c068f141fb4c5b8a
sweep/1/97/hidden_paralog	c066cdbd262a4f90
sweep/1/97/samples_used	1
sweep/1/97/confident_homalt_carriers	0
sweep/1/98/ratio	40569ad9ea6f527a
sweep/1/98/real_variant	c071c2125dcd6c94
sweep/1/98/hidden_paralog	c06836b7c6632feb
sweep/1/98/samples_used	1
sweep/1/98/confident_homalt_carriers	0
sweep/1/99/ratio	40624150b4b45575
sweep/1/99/real_variant	c072b1a0c7fa7cca
sweep/1/99/hidden_paralog	c06321f0db40a41f
sweep/1/99/samples_used	1
sweep/1/99/confident_homalt_carriers	0
sweep/1/100/ratio	0000000000000000
sweep/1/100/real_variant	0000000000000000
sweep/1/100/hidden_paralog	0000000000000000
sweep/1/100/samples_used	0
sweep/1/100/confident_homalt_carriers	0
sweep/1/101/ratio	0000000000000000
sweep/1/101/real_variant	0000000000000000
sweep/1/101/hidden_paralog	0000000000000000
sweep/1/101/samples_used	0
sweep/1/101/confident_homalt_carriers	0
sweep/1/102/ratio	c0094c01c219eb80
sweep/1/102/real_variant	c06472717aa52d8a
sweep/1/102/hidden_paralog	c064d7a181ad9538
sweep/1/102/samples_used	1
sweep/1/102/confident_homalt_carriers	0
sweep/1/103/ratio	4041909d0e7d5804
sweep/1/103/real_variant	c0495a6db7b4a87b
sweep/1/103/hidden_paralog	c02f2742a4dd41de
sweep/1/103/samples_used	1
sweep/1/103/confident_homalt_carriers	0
sweep/1/104/ratio	4035f1ae0c209ed0
sweep/1/104/real_variant	c07162bf90dd3b8e
sweep/1/104/hidden_paralog	c07003a4b01b31a1
sweep/1/104/samples_used	1
sweep/1/104/confident_homalt_carriers	0
sweep/1/105/ratio	0000000000000000
sweep/1/105/real_variant	0000000000000000
sweep/1/105/hidden_paralog	0000000000000000
sweep/1/105/samples_used	0
sweep/1/105/confident_homalt_carriers	0
sweep/1/106/ratio	0000000000000000
sweep/1/106/real_variant	0000000000000000
sweep/1/106/hidden_paralog	0000000000000000
sweep/1/106/samples_used	0
sweep/1/106/confident_homalt_carriers	0
sweep/1/107/ratio	0000000000000000
sweep/1/107/real_variant	0000000000000000
sweep/1/107/hidden_paralog	0000000000000000
sweep/1/107/samples_used	0
sweep/1/107/confident_homalt_carriers	0
sweep/1/108/ratio	405c6af02cdc1010
sweep/1/108/real_variant	c0780ffd63f98d36
sweep/1/108/hidden_paralog	c070f54158c28932
sweep/1/108/samples_used	1
sweep/1/108/confident_homalt_carriers	0
sweep/1/109/ratio	0000000000000000
sweep/1/109/real_variant	0000000000000000
sweep/1/109/hidden_paralog	0000000000000000
sweep/1/109/samples_used	0
sweep/1/109/confident_homalt_carriers	0
sweep/1/110/ratio	4042de8ae9dfce04
sweep/1/110/real_variant	c06334c2decfd5d6
sweep/1/110/hidden_paralog	c05cfa4048afc4aa
sweep/1/110/samples_used	1
sweep/1/110/confident_homalt_carriers	0
sweep/1/111/ratio	404d53b9c01038cc
sweep/1/111/real_variant	c06c1be55f5400ae
sweep/1/111/hidden_paralog	c064c6f6ef4ff27b
sweep/1/111/samples_used	1
sweep/1/111/confident_homalt_carriers	0
sweep/1/112/ratio	4038c22de84836d8
sweep/1/112/real_variant	c06015515700a6b4
sweep/1/112/hidden_paralog	c059fa1733ef3fb2
sweep/1/112/samples_used	1
sweep/1/112/confident_homalt_carriers	0
sweep/1/113/ratio	4020ca122e3a394a
sweep/1/113/real_variant	c024e7ad70c9fe1d
sweep/1/113/hidden_paralog	c000766d0a3f134a
sweep/1/113/samples_used	1
sweep/1/113/confident_homalt_carriers	0
sweep/1/114/ratio	4046def49b625c60
sweep/1/114/real_variant	c06992aed45a1c11
sweep/1/114/hidden_paralog	c063daf1ad8184f9
sweep/1/114/samples_used	1
sweep/1/114/confident_homalt_carriers	0
sweep/1/115/ratio	0000000000000000
sweep/1/115/real_variant	0000000000000000
sweep/1/115/hidden_paralog	0000000000000000
sweep/1/115/samples_used	0
sweep/1/115/confident_homalt_carriers	0
sweep/1/116/ratio	0000000000000000
sweep/1/116/real_variant	0000000000000000
sweep/1/116/hidden_paralog	0000000000000000
sweep/1/116/samples_used	0
sweep/1/116/confident_homalt_carriers	0
sweep/1/117/ratio	c064b9db1aa916e4
sweep/1/117/real_variant	c04f076ae2228e26
sweep/1/117/hidden_paralog	c06c7bb5d331ba6e
sweep/1/117/samples_used	1
sweep/1/117/confident_homalt_carriers	1
sweep/1/118/ratio	c0541e63df9f57bb
sweep/1/118/real_variant	c02d04e8fa0fb0f1
sweep/1/118/hidden_paralog	c057bf00fee14dd9
sweep/1/118/samples_used	1
sweep/1/118/confident_homalt_carriers	1
sweep/1/119/ratio	c00588d1d91e257c
sweep/1/119/real_variant	c027957179fd8a41
sweep/1/119/hidden_paralog	c02cf7a5f04513a0
sweep/1/119/samples_used	1
sweep/1/119/confident_homalt_carriers	0
sweep/1/120/ratio	0000000000000000
sweep/1/120/real_variant	0000000000000000
sweep/1/120/hidden_paralog	0000000000000000
sweep/1/120/samples_used	0
sweep/1/120/confident_homalt_carriers	0
sweep/1/121/ratio	0000000000000000
sweep/1/121/real_variant	0000000000000000
sweep/1/121/hidden_paralog	0000000000000000
sweep/1/121/samples_used	0
sweep/1/121/confident_homalt_carriers	0
sweep/1/122/ratio	0000000000000000
sweep/1/122/real_variant	0000000000000000
sweep/1/122/hidden_paralog	0000000000000000
sweep/1/122/samples_used	0
sweep/1/122/confident_homalt_carriers	0
sweep/1/123/ratio	404fdcf33efbd792
sweep/1/123/real_variant	c0626212c5bab803
sweep/1/123/hidden_paralog	c054d5abebf7843d
sweep/1/123/samples_used	1
sweep/1/123/confident_homalt_carriers	0
sweep/1/124/ratio	0000000000000000
sweep/1/124/real_variant	0000000000000000
sweep/1/124/hidden_paralog	0000000000000000
